client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,204.0,74.925,75.23,40.71,62.22,2026-06-23T21:29:27.859669Z
mv4-2026-06-23-buy-HOOD,HOOD,buy,2.0,103.745,103.49,-24.58,-0.51,2026-06-23T21:29:28.213348Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,464.585,464.49,-2.04,-1.61,2026-06-24T15:52:31.614359Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,204.0,74.925,75.23,40.71,62.22,2026-06-23T21:29:27.859669Z
mv4-2026-06-23-buy-HOOD,HOOD,buy,2.0,103.745,103.49,-24.58,-0.51,2026-06-23T21:29:28.213348Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:56.581968Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,639.265,640.0,11.5,9.56,2026-06-22T21:58:56.151934Z
